Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#94 - >sp|Q9NQV6|PRD10_HUMAN PR domain zinc finger protein 10 OS=Homo sapiens OX=9606 GN=PRDM10 PE=1 SV=3	superfamily	375871	173	200	0.000271951	39.1964	cl39781	zf_PR_Knuckle superfamily	N	 - 
Q#94 - >sp|Q9NQV6|PRD10_HUMAN PR domain zinc finger protein 10 OS=Homo sapiens OX=9606 GN=PRDM10 PE=1 SV=3	specific	395048	644	666	0.000489324	38.4353	pfam00096	zf-C2H2	 - 	cl23491
Q#95 - >sp|Q8N594|MPND_HUMAN MPN domain-containing protein OS=Homo sapiens OX=9606 GN=MPND PE=1 SV=1	specific	163698	266	443	6.18072e-85	259.122	cd08067	MPN_2A_DUB	 - 	cl13996
Q#95 - >sp|Q8N594|MPND_HUMAN MPN domain-containing protein OS=Homo sapiens OX=9606 GN=MPND PE=1 SV=1	specific	436715	70	164	5.33526e-34	123.569	pfam18755	RAMA	 - 	cl16759
Q#96 - >sp|Q8IY81|SPB1_HUMAN pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2	specific	429656	649	834	8.58075e-85	269.086	pfam07780	Spb1_C	 - 	cl06696
Q#96 - >sp|Q8IY81|SPB1_HUMAN pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2	specific	223370	8	203	7.90914e-75	242.514	COG0293	RlmE	 - 	cl41855
Q#96 - >sp|Q8IY81|SPB1_HUMAN pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2	specific	432138	231	400	3.16213e-39	142.304	pfam11861	DUF3381	 - 	cl13325
Q#97 - >sp|Q70EK9|UBP51_HUMAN Ubiquitin carboxyl-terminal hydrolase 51 OS=Homo sapiens OX=9606 GN=USP51 PE=1 SV=1	specific	239125	363	704	1.25767e-155	453.368	cd02660	Peptidase_C19D	 - 	cl02553
Q#97 - >sp|Q70EK9|UBP51_HUMAN Ubiquitin carboxyl-terminal hydrolase 51 OS=Homo sapiens OX=9606 GN=USP51 PE=1 SV=1	specific	426622	236	296	2.01498e-12	62.3274	pfam02148	zf-UBP	 - 	cl09957
Q#98 - >sp|Q96BF6|NACC2_HUMAN Nucleus accumbens-associated protein 2 OS=Homo sapiens OX=9606 GN=NACC2 PE=1 SV=1	specific	349598	1	131	9.31622e-100	298.482	cd18289	BTB_POZ_BTBD14A_NAC2	 - 	cl38908
Q#98 - >sp|Q96BF6|NACC2_HUMAN Nucleus accumbens-associated protein 2 OS=Homo sapiens OX=9606 GN=NACC2 PE=1 SV=1	specific	214981	373	450	1.96732e-18	79.7153	smart01025	BEN	 - 	cl11158
Q#99 - >sp|Q96PN7|TREF1_HUMAN Transcriptional-regulating factor 1 OS=Homo sapiens OX=9606 GN=TRERF1 PE=1 SV=1	specific	426267	781	835	4.15782e-12	61.8502	pfam01448	ELM2	 - 	cl03218
Q#99 - >sp|Q96PN7|TREF1_HUMAN Transcriptional-regulating factor 1 OS=Homo sapiens OX=9606 GN=TRERF1 PE=1 SV=1	superfamily	451276	889	933	8.48685e-11	58.0095	cl21498	SANT superfamily	 - 	 - 
Q#99 - >sp|Q96PN7|TREF1_HUMAN Transcriptional-regulating factor 1 OS=Homo sapiens OX=9606 GN=TRERF1 PE=1 SV=1	specific	433576	514	534	0.000850659	37.6091	pfam13912	zf-C2H2_6	 - 	cl16471
Q#99 - >sp|Q96PN7|TREF1_HUMAN Transcriptional-regulating factor 1 OS=Homo sapiens OX=9606 GN=TRERF1 PE=1 SV=1	specific	433576	1085	1108	0.00460885	35.6831	pfam13912	zf-C2H2_6	 - 	cl16471
Q#100 - >sp|Q8NEJ9|NGDN_HUMAN Neuroguidin OS=Homo sapiens OX=9606 GN=NGDN PE=1 SV=1	specific	427642	18	98	7.20231e-13	63.0479	pfam04000	Sas10_Utp3	 - 	cl09556
Q#101 - >sp|Q9NQZ2|SAS10_HUMAN Something about silencing protein 10 OS=Homo sapiens OX=9606 GN=UTP3 PE=1 SV=1	specific	430564	408	478	2.0073e-28	107.238	pfam09368	Sas10	 - 	cl09622
Q#101 - >sp|Q9NQZ2|SAS10_HUMAN Something about silencing protein 10 OS=Homo sapiens OX=9606 GN=UTP3 PE=1 SV=1	specific	427642	230	310	3.86047e-13	64.5887	pfam04000	Sas10_Utp3	 - 	cl09556
Q#102 - >sp|Q9H2Y7|ZN106_HUMAN Zinc finger protein 106 OS=Homo sapiens OX=9606 GN=ZNF106 PE=1 SV=1	specific	238121	1525	1802	3.63295e-45	165.586	cd00200	WD40	 - 	cl29593
Q#103 - >sp|Q9UL54|TAOK2_HUMAN Serine/threonine-protein kinase TAO2 OS=Homo sapiens OX=9606 GN=TAOK2 PE=1 SV=2	specific	270804	12	319	0	649.392	cd06634	STKc_TAO2	 - 	cl21453
Q#103 - >sp|Q9UL54|TAOK2_HUMAN Serine/threonine-protein kinase TAO2 OS=Homo sapiens OX=9606 GN=TAOK2 PE=1 SV=2	superfamily	224117	472	747	1.38305e-11	69.358	cl34174	Smc superfamily	C	 - 
Q#103 - >sp|Q9UL54|TAOK2_HUMAN Serine/threonine-protein kinase TAO2 OS=Homo sapiens OX=9606 GN=TAOK2 PE=1 SV=2	superfamily	433809	985	1067	0.00019114	42.1885	cl16745	DUF4345 superfamily	C	 - 
Q#104 - >sp|Q9UNX9|KCJ14_HUMAN ATP-sensitive inward rectifier potassium channel 14 OS=Homo sapiens OX=9606 GN=KCNJ14 PE=1 SV=1	specific	435949	198	371	1.07875e-109	320.298	pfam17655	IRK_C	 - 	cl39196
Q#104 - >sp|Q9UNX9|KCJ14_HUMAN ATP-sensitive inward rectifier potassium channel 14 OS=Homo sapiens OX=9606 GN=KCNJ14 PE=1 SV=1	specific	425984	53	191	7.95196e-75	230.143	pfam01007	IRK	 - 	cl21560
Q#105 - >sp|Q9P2D1|CHD7_HUMAN Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens OX=9606 GN=CHD7 PE=1 SV=3	superfamily	215601	967	1566	2.7058e-154	508.957	cl33647	PLN03142 superfamily	C	 - 
Q#105 - >sp|Q9P2D1|CHD7_HUMAN Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens OX=9606 GN=CHD7 PE=1 SV=3	specific	349310	879	936	1.32049e-34	127.405	cd18663	CD2_tandem_CHD5-9_like	 - 	cl28914
Q#105 - >sp|Q9P2D1|CHD7_HUMAN Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens OX=9606 GN=CHD7 PE=1 SV=3	specific	349315	796	861	2.71528e-24	98.1776	cd18668	CD1_tandem_CHD5-9_like	 - 	cl28914
Q#105 - >sp|Q9P2D1|CHD7_HUMAN Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens OX=9606 GN=CHD7 PE=1 SV=3	specific	197800	2642	2686	6.30552e-19	82.0102	smart00592	BRK	 - 	cl02688
Q#105 - >sp|Q9P2D1|CHD7_HUMAN Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens OX=9606 GN=CHD7 PE=1 SV=3	specific	429518	2563	2606	1.0816e-14	70.2377	pfam07533	BRK	 - 	cl02688
Q#105 - >sp|Q9P2D1|CHD7_HUMAN Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens OX=9606 GN=CHD7 PE=1 SV=3	superfamily	312941	204	576	9.73092e-12	70.8076	cl26621	Med15 superfamily	C	 - 
Q#106 - >sp|Q14137|BOP1_HUMAN Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2	specific	429837	144	402	2.51297e-167	481.65	pfam08145	BOP1NT	 - 	cl19763
Q#106 - >sp|Q14137|BOP1_HUMAN Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2	superfamily	453027	408	745	3.70427e-34	132.074	cl29593	WD40 superfamily	 - 	 - 
Q#107 - >sp|Q9Y3S2|ZN330_HUMAN Zinc finger protein 330 OS=Homo sapiens OX=9606 GN=ZNF330 PE=1 SV=1	specific	368953	1	268	3.02692e-167	467.004	pfam06524	NOA36	 - 	cl20043
Q#108 - >sp|O95602|RPA1_HUMAN DNA-directed RNA polymerase I subunit RPA1 OS=Homo sapiens OX=9606 GN=POLR1A PE=1 SV=2	specific	259844	16	1004	0	1306.4	cd01435	RNAP_I_RPA1_N	 - 	cl19114
Q#108 - >sp|O95602|RPA1_HUMAN DNA-directed RNA polymerase I subunit RPA1 OS=Homo sapiens OX=9606 GN=POLR1A PE=1 SV=2	specific	398596	958	1670	4.28677e-170	524.611	pfam04998	RNA_pol_Rpb1_5	 - 	cl29011
Q#109 - >sp|Q8IX15|HOMEZ_HUMAN Homeobox and leucine zipper protein Homez OS=Homo sapiens OX=9606 GN=HOMEZ PE=1 SV=2	superfamily	431938	466	509	1.28551e-11	59.8667	cl13082	Homez superfamily	N	 - 
Q#109 - >sp|Q8IX15|HOMEZ_HUMAN Homeobox and leucine zipper protein Homez OS=Homo sapiens OX=9606 GN=HOMEZ PE=1 SV=2	specific	238039	358	415	9.16326e-09	51.4753	cd00086	homeodomain	 - 	cl00084
Q#109 - >sp|Q8IX15|HOMEZ_HUMAN Homeobox and leucine zipper protein Homez OS=Homo sapiens OX=9606 GN=HOMEZ PE=1 SV=2	specific	238039	65	114	4.17548e-05	41.4601	cd00086	homeodomain	 - 	cl00084
Q#110 - >sp|Q53HL2|BOREA_HUMAN Borealin OS=Homo sapiens OX=9606 GN=CDCA8 PE=1 SV=2	specific	431330	163	275	1.01567e-41	139.42	pfam10512	Borealin	 - 	cl11149
Q#110 - >sp|Q53HL2|BOREA_HUMAN Borealin OS=Homo sapiens OX=9606 GN=CDCA8 PE=1 SV=2	specific	431291	20	76	2.16024e-18	76.8184	pfam10444	Nbl1_Borealin_N	 - 	cl11095
Q#111 - >sp|Q8TDD1|DDX54_HUMAN ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2	specific	350717	96	300	4.85218e-147	431.728	cd17959	DEADc_DDX54	 - 	cl28899
Q#111 - >sp|Q8TDD1|DDX54_HUMAN ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2	superfamily	235307	98	524	7.88369e-55	199.792	cl35267	PRK04537 superfamily	C	 - 
Q#111 - >sp|Q8TDD1|DDX54_HUMAN ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2	specific	429839	714	774	5.94741e-26	101.156	pfam08147	DBP10CT	 - 	cl06955
Q#112 - >sp|Q12789|TF3C1_HUMAN General transcription factor 3C polypeptide 1 OS=Homo sapiens OX=9606 GN=GTF3C1 PE=1 SV=4	specific	367858	174	250	1.21714e-24	98.8614	pfam04182	B-block_TFIIIC	 - 	cl21459
Q#112 - >sp|Q12789|TF3C1_HUMAN General transcription factor 3C polypeptide 1 OS=Homo sapiens OX=9606 GN=GTF3C1 PE=1 SV=4	specific	320085	611	707	2.4261e-23	96.1137	cd16169	Tau138_eWH	 - 	cl28879
Q#112 - >sp|Q12789|TF3C1_HUMAN General transcription factor 3C polypeptide 1 OS=Homo sapiens OX=9606 GN=GTF3C1 PE=1 SV=4	superfamily	236090	1762	1956	2.77405e-05	49.2141	cl35613	PRK07764 superfamily	N	 - 
Q#114 - >sp|Q13428|TCOF_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3	specific	427362	388	904	9.97379e-56	202.187	pfam03546	Treacle	 - 	cl25490
Q#114 - >sp|Q13428|TCOF_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3	superfamily	223021	157	535	5.71512e-06	51.4777	cl33720	PHA03247 superfamily	N	 - 
Q#114 - >sp|Q13428|TCOF_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3	specific	128913	6	37	0.00274332	36.6436	smart00667	LisH	 - 	cl26729
Q#115 - >sp|Q92794|KAT6A_HUMAN Histone acetyltransferase KAT6A OS=Homo sapiens OX=9606 GN=KAT6A PE=1 SV=2	superfamily	215056	504	778	2.44882e-129	413.765	cl33410	PLN00104 superfamily	N	 - 
Q#115 - >sp|Q92794|KAT6A_HUMAN Histone acetyltransferase KAT6A OS=Homo sapiens OX=9606 GN=KAT6A PE=1 SV=2	specific	277090	205	262	4.51546e-35	127.99	cd15618	PHD1_MOZ_MORF	 - 	cl22851
Q#115 - >sp|Q92794|KAT6A_HUMAN Histone acetyltransferase KAT6A OS=Homo sapiens OX=9606 GN=KAT6A PE=1 SV=2	specific	277002	264	310	1.09678e-28	109.39	cd15527	PHD2_KAT6A_6B	 - 	cl22851
Q#115 - >sp|Q92794|KAT6A_HUMAN Histone acetyltransferase KAT6A OS=Homo sapiens OX=9606 GN=KAT6A PE=1 SV=2	specific	197772	85	162	2.24454e-08	52.1946	smart00526	H15	 - 	cl00073
Q#116 - >sp|Q14692|BMS1_HUMAN Ribosome biogenesis protein BMS1 homolog OS=Homo sapiens OX=9606 GN=BMS1 PE=1 SV=1	superfamily	227519	41	1271	0	810.123	cl34937	BMS1 superfamily	 - 	 - 
Q#117 - >sp|Q15270|NKX11_HUMAN NK1 transcription factor-related protein 1 OS=Homo sapiens OX=9606 GN=NKX1-1 PE=2 SV=3	specific	425441	300	352	3.82399e-24	94.4978	pfam00046	Homeobox	 - 	cl00084
Q#118 - >sp|Q969S3|ZN622_HUMAN Cytoplasmic 60S subunit biogenesis factor ZNF622 OS=Homo sapiens OX=9606 GN=ZNF622 PE=1 SV=1	specific	432762	254	353	3.59762e-41	142.424	pfam12756	zf-C2H2_2	 - 	cl20464
Q#118 - >sp|Q969S3|ZN622_HUMAN Cytoplasmic 60S subunit biogenesis factor ZNF622 OS=Homo sapiens OX=9606 GN=ZNF622 PE=1 SV=1	specific	432381	68	91	7.08621e-05	39.4608	pfam12171	zf-C2H2_jaz	 - 	cl44614
Q#118 - >sp|Q969S3|ZN622_HUMAN Cytoplasmic 60S subunit biogenesis factor ZNF622 OS=Homo sapiens OX=9606 GN=ZNF622 PE=1 SV=1	superfamily	185627	6	49	0.000720108	41.5575	cl29187	PTZ00448 superfamily	N	 - 
Q#119 - >sp|P45379|TNNT2_HUMAN Troponin T, cardiac muscle OS=Homo sapiens OX=9606 GN=TNNT2 PE=1 SV=3	specific	425977	103	241	7.06075e-15	69.902	pfam00992	Troponin	 - 	cl26609
Q#121 - >sp|Q5C9Z4|NOM1_HUMAN Nucleolar MIF4G domain-containing protein 1 OS=Homo sapiens OX=9606 GN=NOM1 PE=1 SV=1	specific	214713	363	559	4.54087e-21	92.0383	smart00543	MIF4G	 - 	cl02652
Q#121 - >sp|Q5C9Z4|NOM1_HUMAN Nucleolar MIF4G domain-containing protein 1 OS=Homo sapiens OX=9606 GN=NOM1 PE=1 SV=1	superfamily	413424	655	761	3.6792e-18	80.7825	cl02653	MA3 superfamily	 - 	 - 
Q#122 - >sp|P54257|HAP1_HUMAN Huntingtin-associated protein 1 OS=Homo sapiens OX=9606 GN=HAP1 PE=1 SV=3	specific	428156	107	460	8.28348e-119	357.012	pfam04849	HAP1_N	 - 	cl25919
Q#123 - >sp|Q9BU19|ZN692_HUMAN Zinc finger protein 692 OS=Homo sapiens OX=9606 GN=ZNF692 PE=1 SV=1	superfamily	435011	329	407	3.29365e-05	42.7337	cl25789	zf-C2H2_8 superfamily	 - 	 - 
Q#123 - >sp|Q9BU19|ZN692_HUMAN Zinc finger protein 692 OS=Homo sapiens OX=9606 GN=ZNF692 PE=1 SV=1	superfamily	227561	358	485	0.0013799	41.1595	cl28715	COG5236 superfamily	NC	 - 
Q#123 - >sp|Q9BU19|ZN692_HUMAN Zinc finger protein 692 OS=Homo sapiens OX=9606 GN=ZNF692 PE=1 SV=1	superfamily	237030	208	325	0.00702479	39.1034	cl36091	kgd superfamily	C	 - 
Q#124 - >sp|Q9BXY0|MAK16_HUMAN Protein MAK16 homolog OS=Homo sapiens OX=9606 GN=MAK16 PE=1 SV=2	specific	215038	1	196	2.5139e-94	278.581	PLN00040	PLN00040	 - 	cl27104
Q#125 - >sp|Q14524|SCN5A_HUMAN Sodium channel protein type 5 subunit alpha OS=Homo sapiens OX=9606 GN=SCN5A PE=1 SV=2	specific	432199	507	667	8.46819e-71	234.266	pfam11933	Na_trans_cytopl	 - 	cl13384
Q#125 - >sp|Q14524|SCN5A_HUMAN Sodium channel protein type 5 subunit alpha OS=Homo sapiens OX=9606 GN=SCN5A PE=1 SV=2	specific	425730	1204	1479	1.37055e-67	228.305	pfam00520	Ion_trans	 - 	cl37996
Q#125 - >sp|Q14524|SCN5A_HUMAN Sodium channel protein type 5 subunit alpha OS=Homo sapiens OX=9606 GN=SCN5A PE=1 SV=2	specific	428983	953	1200	2.89636e-67	225.686	pfam06512	Na_trans_assoc	 - 	cl05828
Q#125 - >sp|Q14524|SCN5A_HUMAN Sodium channel protein type 5 subunit alpha OS=Homo sapiens OX=9606 GN=SCN5A PE=1 SV=2	specific	425730	1528	1782	3.34517e-59	204.038	pfam00520	Ion_trans	 - 	cl37996
Q#125 - >sp|Q14524|SCN5A_HUMAN Sodium channel protein type 5 subunit alpha OS=Homo sapiens OX=9606 GN=SCN5A PE=1 SV=2	specific	425730	716	927	1.80961e-56	196.334	pfam00520	Ion_trans	 - 	cl37996
Q#125 - >sp|Q14524|SCN5A_HUMAN Sodium channel protein type 5 subunit alpha OS=Homo sapiens OX=9606 GN=SCN5A PE=1 SV=2	specific	425730	130	423	2.32889e-53	187.474	pfam00520	Ion_trans	 - 	cl37996
Q#125 - >sp|Q14524|SCN5A_HUMAN Sodium channel protein type 5 subunit alpha OS=Homo sapiens OX=9606 GN=SCN5A PE=1 SV=2	specific	240441	1471	1523	7.04991e-33	121.518	cd13433	Na_channel_gate	 - 	cl18913
Q#126 - >sp|O75607|NPM3_HUMAN Nucleoplasmin-3 OS=Homo sapiens OX=9606 GN=NPM3 PE=1 SV=3	specific	427119	38	139	2.82418e-47	149.284	pfam03066	Nucleoplasmin	 - 	cl03870
Q#127 - >sp|Q92692|NECT2_HUMAN Nectin-2 OS=Homo sapiens OX=9606 GN=NECTIN2 PE=1 SV=1	specific	409581	34	158	4.69532e-64	204.35	cd20989	IgV_1_Nectin-2_NecL-5_like_CD112_CD155	 - 	cl11960
Q#127 - >sp|Q92692|NECT2_HUMAN Nectin-2 OS=Homo sapiens OX=9606 GN=NECTIN2 PE=1 SV=1	specific	409524	261	346	2.21658e-56	183.148	cd20930	Ig3_Nectin-5_like	 - 	cl11960
Q#127 - >sp|Q92692|NECT2_HUMAN Nectin-2 OS=Homo sapiens OX=9606 GN=NECTIN2 PE=1 SV=1	specific	409500	162	258	6.4867e-50	166.423	cd07703	IgC1_2_Nectin-2_Necl-5_like	 - 	cl11960
Q#128 - >sp|O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	superfamily	452890	460	697	7.72678e-163	493.754	cl28899	DEAD-like_helicase_N superfamily	 - 	 - 
Q#128 - >sp|O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	superfamily	215601	464	1000	2.57272e-161	519.357	cl33647	PLN03142 superfamily	C	 - 
Q#128 - >sp|O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	specific	349313	276	354	9.08712e-46	159.379	cd18666	CD1_tandem_CHD1-2_like	 - 	cl28914
Q#128 - >sp|O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	specific	349308	387	443	1.83008e-34	126.261	cd18661	CD2_tandem_CHD1-2_like	 - 	cl28914
Q#128 - >sp|O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	superfamily	454307	1124	1210	1.19302e-33	125.13	cl39715	CDH1_2_SANT_HL1 superfamily	 - 	 - 
Q#128 - >sp|O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	specific	433572	1408	1498	5.77322e-30	114.66	pfam13907	DUF4208	 - 	cl16467
Q#128 - >sp|O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	superfamily	439608	1631	1662	0.000245927	41.1413	cl45756	HisXaaSer_A3 superfamily	N	 - 
Q#128 - >sp|O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	superfamily	273727	1600	1709	0.000510332	44.499	cl36941	U2AF_lg superfamily	C	 - 
Q#128 - >sp|O14646|CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	superfamily	273727	1552	1646	0.0027988	42.1878	cl36941	U2AF_lg superfamily	C	 - 
Q#129 - >sp|Q8IZL8|PELP1_HUMAN Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2	specific	429855	60	226	4.37853e-26	106.11	pfam08167	RIX1	 - 	cl20353
Q#129 - >sp|Q8IZL8|PELP1_HUMAN Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2	specific	149302	423	489	6.70104e-18	78.4808	pfam08166	NUC202	 - 	cl06974
Q#129 - >sp|Q8IZL8|PELP1_HUMAN Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2	superfamily	149302	569	637	8.16305e-06	44.1981	cl06974	NUC202 superfamily	C	 - 
Q#130 - >sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	specific	350820	731	981	1.39288e-173	521.527	cd18062	DEXHc_SMARCA4	 - 	cl28899
Q#130 - >sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	superfamily	215601	750	1232	2.60193e-162	520.898	cl33647	PLN03142 superfamily	C	 - 
Q#130 - >sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	specific	99947	1458	1564	3.19919e-61	204.584	cd05516	Bromo_SNF2L2	 - 	cl02556
Q#130 - >sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	specific	214727	460	532	4.15546e-23	94.3866	smart00573	HSA	 - 	cl02676
Q#130 - >sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	specific	434073	1322	1389	4.58902e-23	93.8622	pfam14619	SnAC	 - 	cl20592
Q#130 - >sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	specific	197800	612	656	1.50483e-16	74.6914	smart00592	BRK	 - 	cl02688
Q#130 - >sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	specific	430282	171	205	4.88154e-14	67.3723	pfam08880	QLQ	 - 	cl07469
Q#130 - >sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	superfamily	312941	42	222	7.46771e-08	57.3256	cl26621	Med15 superfamily	C	 - 
Q#130 - >sp|P51532|SMCA4_HUMAN Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	superfamily	224117	370	552	5.84765e-05	48.172	cl34174	Smc superfamily	NC	 - 
Q#131 - >sp|Q96JP5|ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91 OS=Homo sapiens OX=9606 GN=ZFP91 PE=1 SV=1	superfamily	435011	313	390	0.000246458	40.4225	cl25789	zf-C2H2_8 superfamily	 - 	 - 
Q#131 - >sp|Q96JP5|ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91 OS=Homo sapiens OX=9606 GN=ZFP91 PE=1 SV=1	specific	395048	401	422	0.00645986	34.1981	pfam00096	zf-C2H2	 - 	cl23491
